rosbagTimestamp,control_method,x_current,x_desired,y_current,y_desired,x_velocity_current,x_velocity_desired,y_velocity_current,y_velocity_desired,yaw_current,yaw_desired,required_force_x,required_force_y,required_moment_z,resultant_force_x,resultant_force_y,resultant_moment_z,current_port_servo_angle,current_port_thruster_force,current_starboard_servo_angle,current_starboard_thruster_force,estimated_port_servo_angle,estimated_port_thruster_force,estimated_starboard_servo_angle,estimated_starboard_thruster_force,cost_value,step,user_defined_1,user_defined_2,user_defined_3,user_defined_4,user_defined_5
1402598484262881375,0,6.29173637806,-0.114322152727,-10.2412602933,0.043815185726,0.0390002598525,0.0,0.201599494046,0.0,2.1961242811,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.180286796885,-0.0,0.00230154196664,-0.0,-0.186463408346,-0.0,0.0,-0.0,2.1723812279e-07,0.0,0.0,0.0,0.0,0.0,0.0
1402598484283232912,0,6.28415731926,-0.114322152727,-10.2334842371,0.043815185726,0.042798436476,0.0,0.204650734678,0.0,2.1944560435,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.180286796885,-0.0,0.00230154196664,-0.0,-0.186463408346,-0.0,0.0,-0.0,2.1723812279e-07,0.0,0.0,0.0,0.0,0.0,0.0
1402598484303079716,0,6.28415731926,-0.114322152727,-10.2334842371,0.043815185726,0.042798436476,0.0,0.204650734678,0.0,2.1944560435,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.180286796885,-0.0,0.00230154196664,-0.0,-0.186463408346,-0.0,0.0,-0.0,2.1723812279e-07,0.0,0.0,0.0,0.0,0.0,0.0
1402598484323701558,0,6.27347582229,-0.114322152727,-10.2270980843,0.043815185726,0.0396601452279,0.0,0.199103958149,0.0,2.19289509698,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.180286796885,-0.0,0.00230154196664,-0.0,-0.186463408346,-0.0,0.0,-0.0,2.1723812279e-07,0.0,0.0,0.0,0.0,0.0,0.0
1402598484343973005,0,6.27347582229,-0.114322152727,-10.2270980843,0.043815185726,0.0396601452279,0.0,0.199103958149,0.0,2.19289509698,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.180286796885,-0.0,0.00230154196664,-0.0,-0.186463408346,-0.0,0.0,-0.0,2.1723812279e-07,0.0,0.0,0.0,0.0,0.0,0.0
1402598484363476387,0,6.27530584867,-0.114322152727,-10.2189203758,0.043815185726,0.0423992711303,0.0,0.202214059194,0.0,2.19153669955,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.180286796885,-0.0,0.00230154196664,-0.0,-0.186463408346,-0.0,0.0,-0.0,2.1723812279e-07,0.0,0.0,0.0,0.0,0.0,0.0
1402598484382753213,0,6.27530584867,-0.114322152727,-10.2189203758,0.043815185726,0.0423992711303,0.0,0.202214059194,0.0,2.19153669955,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.180286796885,-0.0,0.00230154196664,-0.0,-0.186463408346,-0.0,0.0,-0.0,2.1723812279e-07,0.0,0.0,0.0,0.0,0.0,0.0
1402598484403415890,0,6.27801903895,-0.114322152727,-10.2043566884,0.043815185726,0.064612710957,0.0,0.217343613267,0.0,2.19036824923,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.180286796885,-0.0,0.00230154196664,-0.0,-0.186463408346,-0.0,0.0,-0.0,2.1723812279e-07,0.0,0.0,0.0,0.0,0.0,0.0
1402598484422807012,0,6.27801903895,-0.114322152727,-10.2043566884,0.043815185726,0.064612710957,0.0,0.217343613267,0.0,2.19036824923,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.178752573329,-0.0,0.00230154196664,-0.0,-0.186463408346,-0.0,0.0,-0.0,3.23770360418e-07,0.0,0.0,0.0,0.0,0.0,0.0
1402598484443431232,0,6.27462279997,-0.114322152727,-10.2002195039,0.043815185726,0.0655293323456,0.0,0.209201521712,0.0,2.18882125453,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.180286796885,-0.0,0.00230154196664,-0.0,-0.186463408346,-0.0,0.0,-0.0,2.1723812279e-07,0.0,0.0,0.0,0.0,0.0,0.0
