rosbagTimestamp,control_method,x_current,x_desired,y_current,y_desired,x_velocity_current,x_velocity_desired,y_velocity_current,y_velocity_desired,yaw_current,yaw_desired,required_force_x,required_force_y,required_moment_z,resultant_force_x,resultant_force_y,resultant_moment_z,current_port_servo_angle,current_port_thruster_force,current_starboard_servo_angle,current_starboard_thruster_force,estimated_port_servo_angle,estimated_port_thruster_force,estimated_starboard_servo_angle,estimated_starboard_thruster_force,cost_value,step,user_defined_1,user_defined_2,user_defined_3,user_defined_4,user_defined_5
1402598546943348406,0,7.81797926221,-0.114322152727,-11.8510211363,0.043815185726,-0.0220253002003,0.0,-0.205557772602,0.0,2.11851415823,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.00537022749826,-0.0,0.137324897451,-0.0,0.0,-0.0,0.134600270667,-0.0,1.81314672477e-07,0.0,0.0,0.0,0.0,0.0,0.0
1402598546963458445,0,7.81797926221,-0.114322152727,-11.8510211363,0.043815185726,-0.0220253002003,0.0,-0.205557772602,0.0,2.11851415823,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.00537022749826,-0.0,0.137324897451,-0.0,0.0,-0.0,0.134600270667,-0.0,1.81314672477e-07,0.0,0.0,0.0,0.0,0.0,0.0
1402598546982965435,0,7.81744413951,-0.114322152727,-11.855442177,0.043815185726,-0.0232244236245,0.0,-0.207568272772,0.0,2.11869686391,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.00537022749826,-0.0,0.137324897451,-0.0,0.0,-0.0,0.134600270667,-0.0,1.81314672477e-07,0.0,0.0,0.0,0.0,0.0,0.0
1402598547003431714,0,7.81744413951,-0.114322152727,-11.855442177,0.043815185726,-0.0232244236245,0.0,-0.207568272772,0.0,2.11869686391,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.00537022749826,-0.0,0.137324897451,-0.0,0.0,-0.0,0.134600270667,-0.0,1.81314672477e-07,0.0,0.0,0.0,0.0,0.0,0.0
1402598547022894999,0,7.81653356261,-0.114322152727,-11.8642121512,0.043815185726,-0.0254278426656,0.0,-0.209518814972,0.0,2.11912569925,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.00537022749826,-0.0,0.137324897451,-0.0,0.0,-0.0,0.134600270667,-0.0,1.81314672477e-07,0.0,0.0,0.0,0.0,0.0,0.0
1402598547042888828,0,7.81653356261,-0.114322152727,-11.8642121512,0.043815185726,-0.0254278426656,0.0,-0.209518814972,0.0,2.11912569925,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.00537022749826,-0.0,0.137324897451,-0.0,0.0,-0.0,0.0,-0.0,9.44348340161e-05,0.0,0.0,0.0,0.0,0.0,0.0
1402598547063254918,0,7.81558179923,-0.114322152727,-11.8728458736,0.043815185726,-0.0269968990895,0.0,-0.211654872614,0.0,2.11946166474,0.0,0.0,0.0,0.0,7.94975012541,0.0,-2.42308383822,0.00537022749826,-0.0,0.137324897451,-0.0,0.0,7.94975012541,0.0,-0.0,6411.58672607,0.0,0.0,0.0,0.0,0.0,0.0
1402598547082865120,0,7.81558179923,-0.114322152727,-11.8728458736,0.043815185726,-0.0269968990895,0.0,-0.211654872614,0.0,2.11946166474,0.0,0.0,0.0,0.0,54.278876564,9.03291053931,-23.0831255161,0.00537022749826,7.94975012541,0.125049916906,-0.0,0.164905439214,55.025357008,0.0,-0.0,469660.850028,0.0,0.0,0.0,0.0,0.0,0.0
1402598547102827062,0,7.81441506479,-0.114322152727,-11.8816170307,0.043815185726,-0.0280563227507,0.0,-0.213721343272,0.0,2.11974809219,0.0,0.0,0.0,0.0,-7.85700792582,29.7720400994,-80.1107137255,0.00537022749826,55.025357008,0.0989659706776,-0.0,0.298190917134,96.3859677315,-0.0145471904111,-100.0,3751588.31569,0.0,0.0,0.0,0.0,0.0,0.0
1402598547123350696,0,7.81441506479,-0.114322152727,-11.8816170307,0.043815185726,-0.0280563227507,0.0,-0.213721343272,0.0,2.11974809219,0.0,0.0,0.0,0.0,-7.85700792582,29.7720400994,-80.1107137255,0.00843891302987,96.3859677315,0.0667444149677,-100.0,0.298190917134,96.3859677315,-0.0145471904111,-100.0,3751588.31565,0.0,0.0,0.0,0.0,0.0,0.0
