rosbagTimestamp,control_method,x_current,x_desired,y_current,y_desired,z_current,z_desired,x_velocity_current,x_velocity_desired,y_velocity_current,y_velocity_desired,z_velocity_current,z_velocity_desired,yaw_current,yaw_desired,yaw_velocity_current,yaw_velocity_desired,roll_current,roll_desired,roll_velocity_current,roll_velocity_desired,pitch_current,pitch_desired,pitch_velocity_current,pitch_velocity_desired,friction_force_forward,friction_force_lateral,friction_force_rotational,required_force_x,required_force_y,required_moment_z,resultant_force_x,resultant_force_y,resultant_moment_z,current_port_servo_angle,current_port_thruster_force,current_starboard_servo_angle,current_starboard_thruster_force,estimated_port_servo_angle,estimated_port_thruster_force,estimated_starboard_servo_angle,estimated_starboard_thruster_force,cost_value,step,user_defined_1,user_defined_2,user_defined_3,user_defined_4,user_defined_5
1403020863046226125,3,-18.6513754384,-9.56012115774,17.6443219371,12.5835788608,22.2971745705,0.0,-0.639692714211,0.0,-0.0653283767707,0.0,0.0956621288997,0.0,3.10942964206,0.0,-0.740063371013,0.0,-0.0199304639639,0.0,0.00718852645947,0.0,0.0580888818391,-0.0,0.0192711877142,0.0,2.22985691589,0.166415733891,-0.985005253882,6.66778516031,11.6412490179,-1.03086430711,-2.22985691589,-0.166415733891,0.985005253882,0.00383600394174,100.0,0.00537022749826,-100.0,-0.0,100.0,-0.0,-100.0,1111326.35575,0.0,0.0,0.0,0.0,0.0,0.0
1403020863066157654,3,-18.6513754384,-9.56012115774,17.6443219371,12.5835788608,22.2971745705,0.0,-0.639692714211,0.0,-0.0653283767707,0.0,0.0956621288997,0.0,3.10942964206,0.0,-0.740063371013,0.0,-0.0199304639639,0.0,0.00718852645947,0.0,0.0580888818391,-0.0,0.0192711877142,0.0,2.22985691589,0.166415733891,-0.985005253882,6.66778516031,11.6412490179,-1.03086430711,-2.22985691589,-0.166415733891,0.985005253882,0.00537022749826,100.0,0.00537022749826,-100.0,-0.0,100.0,-0.0,-100.0,1111326.35575,0.0,0.0,0.0,0.0,0.0,0.0
1403020863086129935,3,-18.6783900802,-9.56012115774,17.6454894164,12.5835788608,22.2852730869,0.0,-0.654131082736,0.0,-0.0479087971217,0.0,0.101850838944,0.0,3.0806344409,0.0,-0.731163389823,0.0,-0.020223032744,0.0,0.00317783074702,0.0,0.0590559895665,-0.0,0.0138317712681,0.0,2.26706062009,0.169640145631,-0.972646208583,6.66778516031,11.6412490179,-1.03086430711,-2.26706062009,-0.169640145631,0.972646208583,0.00383600394174,100.0,0.00537022749826,-100.0,-0.0,100.0,-0.0,-100.0,1111671.31317,0.0,0.0,0.0,0.0,0.0,0.0
1403020863106142737,3,-18.6783900802,-9.56012115774,17.6454894164,12.5835788608,22.2852730869,0.0,-0.654131082736,0.0,-0.0479087971217,0.0,0.101850838944,0.0,3.0806344409,0.0,-0.731163389823,0.0,-0.020223032744,0.0,0.00317783074702,0.0,0.0590559895665,-0.0,0.0138317712681,0.0,2.26706062009,0.169640145631,-0.972646208583,6.66778516031,11.6412490179,-1.03086430711,-2.26706062009,-0.169640145631,0.972646208583,0.00383600394174,100.0,0.00537022749826,-100.0,-0.0,100.0,-0.0,-100.0,1111671.31317,0.0,0.0,0.0,0.0,0.0,0.0
1403020863126350801,3,-18.6842602208,-9.56012115774,17.6647588217,12.5835788608,22.2441691792,0.0,-0.640623882482,0.0,-0.0231376888682,0.0,0.102648181859,0.0,3.05045140608,0.0,-0.739814871184,0.0,-0.0198354180731,0.0,0.00684722795825,0.0,0.0577989242332,-0.0,0.0259695979733,0.0,2.22446532175,0.157142078362,-0.9847106823,6.66778516031,11.6412490179,-1.03086430711,-2.22446532175,-0.157142078362,0.9847106823,0.00383600394174,100.0,0.00537022749826,-100.0,-0.0,100.0,-0.0,-100.0,1111168.34682,0.0,0.0,0.0,0.0,0.0,0.0
1403020863146122122,3,-18.6842602208,-9.56012115774,17.6647588217,12.5835788608,22.2441691792,0.0,-0.640623882482,0.0,-0.0231376888682,0.0,0.102648181859,0.0,3.05045140608,0.0,-0.739814871184,0.0,-0.0198354180731,0.0,0.00684722795825,0.0,0.0577989242332,-0.0,0.0259695979733,0.0,2.22446532175,0.157142078362,-0.9847106823,6.66778516031,11.6412490179,-1.03086430711,-2.22446532175,-0.157142078362,0.9847106823,0.00537022749826,100.0,0.00537022749826,-100.0,-0.0,100.0,-0.0,-100.0,1111168.34682,0.0,0.0,0.0,0.0,0.0,0.0
1403020863166329796,3,-18.7097382242,-9.56012115774,17.6588294345,12.5835788608,22.2635684515,0.0,-0.630521397149,0.0,-0.00916024694154,0.0,0.112971893936,0.0,3.01955993956,0.0,-0.744687937682,0.0,-0.0198481877901,0.0,-0.0162976736666,0.0,0.0569258137461,-0.0,0.0207499151223,0.0,2.18893933639,0.165769373831,-0.989271734552,6.66778516031,11.6412490179,-1.03086430711,-2.18893933639,-0.165769373831,0.989271734552,0.00383600394174,100.0,0.00383600394174,-100.0,-0.0,100.0,-0.0,-100.0,1110964.10087,0.0,0.0,0.0,0.0,0.0,0.0
1403020863186157231,3,-18.7097382242,-9.56012115774,17.6588294345,12.5835788608,22.2635684515,0.0,-0.630521397149,0.0,-0.00916024694154,0.0,0.112971893936,0.0,3.01955993956,0.0,-0.744687937682,0.0,-0.0198481877901,0.0,-0.0162976736666,0.0,0.0569258137461,-0.0,0.0207499151223,0.0,2.18893933639,0.165769373831,-0.989271734552,6.66778516031,11.6412490179,-1.03086430711,-2.18893933639,-0.165769373831,0.989271734552,0.00383600394174,100.0,-0.00383606751517,-100.0,-0.0,100.0,-0.0,-100.0,1110964.10087,0.0,0.0,0.0,0.0,0.0,0.0
1403020863206134673,3,-18.7428063164,-9.56012115774,17.6613981932,12.5835788608,22.258989238,0.0,-0.653471157808,0.0,0.0191914951463,0.0,0.11311773632,0.0,2.99162914853,0.0,-0.746201494551,0.0,-0.0190577860248,0.0,0.00433219012853,0.0,0.0584608868915,-0.0,0.0234332550354,0.0,2.26230385212,0.151529924815,-0.992802199678,6.66778516031,11.6412490179,-1.03086430711,-2.26230385212,-0.151529924815,0.992802199678,0.00383600394174,100.0,-0.00690451462821,-100.0,-0.0,100.0,-0.0,-100.0,1111455.67555,0.0,0.0,0.0,0.0,0.0,0.0
1403020863226163435,3,-18.7493223875,-9.56012115774,17.6615796761,12.5835788608,22.2601353419,0.0,-0.649290553699,0.0,0.0275776321685,0.0,0.102679865598,0.0,2.98426758114,0.0,-0.738873305708,0.0,-0.0190801998139,0.0,0.00801152769869,0.0,0.0580871544867,-0.0,0.0365911451029,0.0,2.25396461642,0.143614817207,-0.983533166119,6.66778516031,11.6412490179,-1.03086430711,-2.25396461642,-0.143614817207,0.983533166119,0.00383600394174,100.0,0.00383600394174,-100.0,-0.0,100.0,-0.0,-100.0,1111269.21594,0.0,0.0,0.0,0.0,0.0,0.0
