rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,point,x,y,z
1402416554285808700,,389,,1402416554,276664018,/ecef,,738763.303457,-5498145.94861,3136745.73077
1402416555287759429,,390,,1402416555,278470039,/ecef,,738763.439354,-5498145.98726,3136745.94003
1402416557288343729,,391,,1402416557,278377056,/ecef,,738763.343676,-5498145.75877,3136746.30757
1402416558288543612,,392,,1402416558,279282093,/ecef,,738762.831125,-5498146.23745,3136745.97678
1402416559285281529,,393,,1402416559,277098894,/ecef,,738763.195999,-5498146.71751,3136745.4042
1402416560285102899,,394,,1402416560,275949954,/ecef,,738763.934821,-5498147.04816,3136745.31582
1402416561286030284,,395,,1402416561,276928901,/ecef,,738764.840497,-5498146.99201,3136745.75378
1402416562288957587,,396,,1402416562,279803991,/ecef,,738765.363001,-5498146.98968,3136746.81288
1402416563285900741,,397,,1402416563,276726961,/ecef,,738765.263671,-5498147.0944,3136747.983
1402416564289777736,,398,,1402416564,280622959,/ecef,,738764.467405,-5498147.26475,3136748.67031
1402416565290645597,,399,,1402416565,281538963,/ecef,,738763.513356,-5498147.79628,3136748.68113
1402416566292029909,,400,,1402416566,280945062,/ecef,,738763.254156,-5498147.97134,3136747.94102
1402416567290515686,,401,,1402416567,281337022,/ecef,,738763.761046,-5498148.51036,3136747.25801
1402416568290454840,,402,,1402416568,281286954,/ecef,,738764.347395,-5498148.55608,3136746.45148
1402416570288300680,,403,,1402416570,278124094,/ecef,,738765.695639,-5498148.32105,3136745.37669
