rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,child_frame_id,pose,pose,position,x,y,z,orientation,x,y,z,w,covariance,twist,twist,linear,x,y,z,angular,x,y,z,covariance
1402416126043113653,,213351,,1402416126,6967067,/enu,/base_link,,,,5.02948737139,22.0359133616,-27.5047407126,,0.00879364609928,0.00895381937329,-0.534037195295,-0.84536783411,"[0.033499917002715894, -0.004725699956309767, 0.0009270077755280544, 6.262080237134153e-06, -1.9312440880124672e-05, -0.0002669262878139341, -0.004725699956309767, 0.03747070947365898, 0.0074168519004197435, 1.3947157976560829e-05, -4.097373864720659e-06, 0.00012652456101056354, 0.0009270077755280544, 0.0074168519004197435, 0.2239382320299347, -3.039980080403499e-06, 1.0037420390063866e-06, 2.2925573701864835e-05, 6.262080237134153e-06, 1.3947157976560829e-05, -3.039980080403499e-06, 4.028340762532351e-06, -2.529534804192288e-07, -4.963666843252036e-07, -1.9312440880124672e-05, -4.097373864720659e-06, 1.0037420390063866e-06, -2.529534804192288e-07, 4.238548179738416e-06, 6.218211687320059e-07, -0.0002669262878139341, 0.00012652456101056354, 2.2925573701864835e-05, -4.963666843252036e-07, 6.218211687320059e-07, 0.00011706549167357084]",,,,1.75869911268,0.656726624616,0.251307608245,,0.0212647466853,-0.0287099220536,0.0279852320054,"[0.00024208263221818738, -0.00015769971924810833, -4.737850682710103e-05, -3.6047029789256403e-09, 1.1186555421895001e-08, 4.430281654675265e-08, -0.00015769971924810833, 0.0005069237712583507, 5.396482169109647e-06, 2.351790580153284e-09, -2.6779973218111257e-09, -1.194602713976922e-07, -4.737850682710103e-05, 5.396482169109647e-06, 0.0002582472739634629, -1.6624531211269614e-09, 2.5382602286845246e-09, -1.6479119056365646e-09, -3.6047029789256403e-09, 2.351790580153284e-09, -1.6624531211269614e-09, 2.4662499137627198e-09, 5.920845991265588e-12, 9.916518845169627e-12, 1.1186555421895001e-08, -2.6779973218111257e-09, 2.5382602286845246e-09, 5.920845991265588e-12, 2.4385702922804973e-09, 7.467770229785628e-13, 4.430281654675265e-08, -1.194602713976922e-07, -1.6479119056365646e-09, 9.916518845169627e-12, 7.467770229785628e-13, 2.4678410697707337e-09]"
1402416126043164072,,213352,,1402416126,16987085,/enu,/base_link,,,,5.03090801866,22.0549957227,-27.5025799128,,0.00899258347479,0.00897486803634,-0.534209097939,-0.845256898738,"[0.033498473438903255, -0.004725012217017363, 0.0009233225435743822, 6.239113726333055e-06, -1.9114156380627198e-05, -0.00026688636440414594, -0.004725012217017363, 0.03747186980985654, 0.007408136832495707, 1.3773271911244702e-05, -4.075785159772891e-06, 0.00012647447212730818, 0.0009233225435743822, 0.007408136832495707, 0.2239681600194866, -3.0335272715359243e-06, 1.002074937768942e-06, 2.2937799748528138e-05, 6.239113726333055e-06, 1.3773271911244702e-05, -3.0335272715359243e-06, 4.068459270034113e-06, -2.5294281696495305e-07, -4.9620914859416e-07, -1.9114156380627198e-05, -4.075785159772891e-06, 1.002074937768942e-06, -2.5294281696495305e-07, 4.2786724734096164e-06, 6.204412785583438e-07, -0.00026688636440414594, 0.00012647447212730818, 2.2937799748528138e-05, -4.9620914859416e-07, 6.204412785583438e-07, 0.0001170865310275591]",,,,1.76207124265,0.662072935892,0.247926986807,,-0.0358367472592,0.017125900021,0.0378151027634,"[0.00024597961026491094, -0.00015818163125148616, -4.683048409082153e-05, -3.6005458813425143e-09, 1.1427620445123372e-08, 4.430379530579466e-08, -0.00015818163125148616, 0.0005106956119150223, 5.761594454298508e-06, 2.127781474076426e-09, -2.7036366074499738e-09, -1.195180307538762e-07, -4.683048409082153e-05, 5.761594454298508e-06, 0.00025874371728253016, -1.6841154493026081e-09, 2.58018474735585e-09, -1.6835570204629646e-09, -3.6005458813425143e-09, 2.127781474076426e-09, -1.6841154493026081e-09, 2.466249888713882e-09, 5.920873999040355e-12, 9.916871117538765e-12, 1.1427620445123372e-08, -2.7036366074499738e-09, 2.58018474735585e-09, 5.920873999040355e-12, 2.4385702566591657e-09, 7.464786789651737e-13, 4.430379530579466e-08, -1.195180307538762e-07, -1.6835570204629646e-09, 9.916871117538765e-12, 7.464786789651737e-13, 2.4678339181147795e-09]"
1402416126043188412,,213353,,1402416126,26937007,/enu,/base_link,,,,5.0321271848,22.0735824003,-27.5001573875,,0.00916334830853,0.00900207234575,-0.534350708171,-0.845165259827,"[0.033497094477784616, -0.004724301845342442, 0.0009196570136739871, 6.216092505199356e-06, -1.8913730046903986e-05, -0.0002668472818497341, -0.004724301845342442, 0.037473063954879274, 0.0073994135353512795, 1.3597321789930137e-05, -4.054194367561765e-06, 0.00012641782291078008, 0.0009196570136739871, 0.0073994135353512795, 0.22399796350347556, -3.0270736193253444e-06, 1.0006687419047195e-06, 2.2949672899635782e-05, 6.216092505199356e-06, 1.3597321789930137e-05, -3.0270736193253444e-06, 4.108016204730845e-06, -2.5293203117177917e-07, -4.960496084783901e-07, -1.8913730046903986e-05, -4.054194367561765e-06, 1.0006687419047195e-06, -2.5293203117177917e-07, 4.318235511662628e-06, 6.190504688552423e-07, -0.0002668472818497341, 0.00012641782291078008, 2.2949672899635782e-05, -4.960496084783901e-07, 6.190504688552423e-07, 0.00011710699454039214]",,,,1.7599976512,0.672053342133,0.229666047188,,-0.0319710765425,0.013260229203,0.0309673604811,"[0.00024994347411817926, -0.00015868535033921027, -4.627148564607628e-05, -3.5967979604870893e-09, 1.167004084894488e-08, 4.4313091196993136e-08, -0.00015868535033921027, 0.0005144890965016778, 6.123805188874621e-06, 1.902191439727189e-09, -2.7284226495063804e-09, -1.1957204528424952e-07, -4.627148564607628e-05, 6.123805188874621e-06, 0.0002592375046885689, -1.7060195792497913e-09, 2.6214932712643626e-09, -1.7160944379991133e-09, -3.5967979604870893e-09, 1.902191439727189e-09, -1.7060195792497913e-09, 2.4662498638195437e-09, 5.920902267359719e-12, 9.917219758513113e-12, 1.167004084894488e-08, -2.7284226495063804e-09, 2.6214932712643626e-09, 5.920902267359719e-12, 2.4385702204496334e-09, 7.461782696048524e-13, 4.4313091196993136e-08, -1.1957204528424952e-07, -1.7160944379991133e-09, 9.917219758513113e-12, 7.461782696048524e-13, 2.467826764297874e-09]"
1402416126043284709,,213354,,1402416126,38074016,/enu,/base_link,,,,5.05158401679,22.0681008751,-27.3957377287,,0.0108938243911,0.0117092626388,-0.534467011735,-0.845038005728,"[0.0334666822211123, -0.004734273623404492, 0.0009283520803378739, 6.013415359816028e-06, -1.761626708719185e-05, -0.0002665892519473286, -0.004734273623404492, 0.037440550636218595, 0.007434358490485674, 1.256001405987017e-05, -3.855150976807615e-06, 0.00012625678234049904, 0.0009283520803378739, 0.007434358490485674, 0.22384997573060375, -2.953074996808062e-06, 9.753574533416204e-07, 2.278621983339515e-05, 6.013415359816028e-06, 1.256001405987017e-05, -2.953074996808062e-06, 3.923263485218686e-06, -2.4921172481867825e-07, -5.02822359103564e-07, -1.761626708719185e-05, -3.855150976807615e-06, 9.753574533416204e-07, -2.4921172481867825e-07, 4.129169155444144e-06, 6.147295586518417e-07, -0.0002665892519473286, 0.00012625678234049904, 2.278621983339515e-05, -5.02822359103564e-07, 6.147295586518417e-07, 0.00011713489803159206]",,,,1.73134398777,0.713722125239,0.265546783372,,0.0207089749514,-0.0216429302103,0.0259972346587,"[0.00024085306500884742, -0.00016553697440057909, -5.023741235026434e-05, -3.994369205890304e-09, 1.058386793756826e-08, 4.821374155012441e-08, -0.00016553697440057909, 0.0004864159105257749, 7.682112864489171e-06, 2.738573150944776e-09, -2.5885318287837244e-09, -1.174475563634344e-07, -5.023741235026434e-05, 7.682112864489171e-06, 0.0002555821157150505, -1.7034890530838734e-09, 2.2834940012211485e-09, -2.533148938336599e-09, -3.994369205890304e-09, 2.738573150944776e-09, -1.7034890530838734e-09, 2.4661668028002506e-09, 5.91977600353834e-12, 9.915971256204881e-12, 1.058386793756826e-08, -2.5885318287837244e-09, 2.2834940012211485e-09, 5.91977600353834e-12, 2.438484095200609e-09, 7.463492265699603e-13, 4.821374155012441e-08, -1.174475563634344e-07, -2.533148938336599e-09, 9.915971256204881e-12, 7.463492265699603e-13, 2.4678190454494834e-09]"
1402416126083526419,,213355,,1402416126,47939062,/enu,/base_link,,,,5.05217115681,22.0866545191,-27.3932501848,,0.0110630339733,0.0117499224845,-0.534608546349,-0.844945708771,"[0.03346543861017117, -0.004733552324282041, 0.0009248016626229978, 5.991551617046436e-06, -1.743157586434323e-05, -0.0002665528049532112, -0.004733552324282041, 0.03744186920717088, 0.007425838202545091, 1.2398520573601394e-05, -3.834642529499606e-06, 0.00012619988731233078, 0.0009248016626229978, 0.007425838202545091, 0.2238791859903273, -2.946469279499609e-06, 9.738181382341939e-07, 2.2797660285645223e-05, 5.991551617046436e-06, 1.2398520573601394e-05, -2.946469279499609e-06, 3.962151938047713e-06, -2.492013474647406e-07, -5.026704211760872e-07, -1.743157586434323e-05, -3.834642529499606e-06, 9.738181382341939e-07, -2.492013474647406e-07, 4.168062922421979e-06, 6.133827314718199e-07, -0.0002665528049532112, 0.00012619988731233078, 2.2797660285645223e-05, -5.026704211760872e-07, 6.133827314718199e-07, 0.0001171546630264343]",,,,1.73130234828,0.727799346831,0.254236093283,,-0.03341042948,0.010828712685,0.0310778522068,"[0.0002445035452691631, -0.000166023656741341, -4.973829133829386e-05, -3.990030986148835e-09, 1.0814898961084236e-08, 4.8224114323731994e-08, -0.000166023656741341, 0.0004899053720350339, 8.067682909178292e-06, 2.5241409329199407e-09, -2.6120128778682836e-09, -1.1750157982773936e-07, -4.973829133829386e-05, 8.067682909178292e-06, 0.0002560713711304787, -1.7274556885295992e-09, 2.3227344222867707e-09, -2.567056172165201e-09, -3.990030986148835e-09, 2.5241409329199407e-09, -1.7274556885295992e-09, 2.4661667773297767e-09, 5.919803243978049e-12, 9.916332391398555e-12, 1.0814898961084236e-08, -2.6120128778682836e-09, 2.3227344222867707e-09, 5.919803243978049e-12, 2.4384840614330246e-09, 7.460581979160355e-13, 4.8224114323731994e-08, -1.1750157982773936e-07, -2.567056172165201e-09, 9.916332391398555e-12, 7.460581979160355e-13, 2.4678118870843785e-09]"
1402416126083556612,,213356,,1402416126,57923078,/enu,/base_link,,,,5.0529281379,22.105399491,-27.3907736559,,0.0108991589691,0.0117764815461,-0.534766747048,-0.844847352525,"[0.03346422223512075, -0.0047328503036513725, 0.0009211275533089466, 5.969159337646765e-06, -1.7240684154159504e-05, -0.00026650925885826485, -0.0047328503036513725, 0.03744321438460237, 0.007417162995856841, 1.2231334453689155e-05, -3.813650669232535e-06, 0.00012614444207061882, 0.0009211275533089466, 0.007417162995856841, 0.22390886745967742, -2.9400837249262117e-06, 9.722630800557188e-07, 2.2809640688953406e-05, 5.969159337646765e-06, 1.2231334453689155e-05, -2.9400837249262117e-06, 4.001984329851622e-06, -2.4919091202369405e-07, -5.025188034531361e-07, -1.7240684154159504e-05, -3.813650669232535e-06, 9.722630800557188e-07, -2.4919091202369405e-07, 4.207900942937255e-06, 6.120241576998394e-07, -0.00026650925885826485, 0.00012614444207061882, 2.2809640688953406e-05, -5.025188034531361e-07, 6.120241576998394e-07, 0.00011717538317803119]",,,,1.72891206166,0.71591146106,0.267308099634,,0.0249059878315,-0.0226369583396,0.0335077229789,"[0.0002482386319659613, -0.00016654187855001955, -4.9128319832805756e-05, -3.986318339125821e-09, 1.1051219358541443e-08, 4.8231069526105096e-08, -0.00016654187855001955, 0.0004935332154865623, 8.382749859501209e-06, 2.3042889450754185e-09, -2.6350323242448884e-09, -1.175589908484636e-07, -4.9128319832805756e-05, 8.382749859501209e-06, 0.00025659619331548953, -1.7519418941526783e-09, 2.3604071092197464e-09, -2.5492703178279126e-09, -3.986318339125821e-09, 2.3042889450754185e-09, -1.7519418941526783e-09, 2.466166752146196e-09, 5.9198307095112295e-12, 9.916689898713048e-12, 1.1051219358541443e-08, -2.6350323242448884e-09, 2.3604071092197464e-09, 5.9198307095112295e-12, 2.438484026943269e-09, 7.457650776039795e-13, 4.8231069526105096e-08, -1.175589908484636e-07, -2.5492703178279126e-09, 9.916689898713048e-12, 7.457650776039795e-13, 2.46780472625729e-09]"
1402416126083587213,,213357,,1402416126,68928956,/enu,/base_link,,,,5.05348477306,22.1260327696,-27.3878486949,,0.0109612239205,0.0118361625279,-0.534949392155,-0.84473007799,"[0.033462879267051715, -0.004732030338134198, 0.0009171464677695728, 5.944297083823628e-06, -1.70253639530568e-05, -0.0002664715620694929, -0.004732030338134198, 0.03744466471701809, 0.00740758351577437, 1.2042069886953213e-05, -3.7901387420492957e-06, 0.00012607653901388575, 0.0009171464677695728, 0.00740758351577437, 0.22394168434787068, -2.933369921975216e-06, 9.711453322821679e-07, 2.282314066578947e-05, 5.944297083823628e-06, 1.2042069886953213e-05, -2.933369921975216e-06, 4.05039997733109e-06, -2.491807152641952e-07, -5.02379036871317e-07, -1.70253639530568e-05, -3.7901387420492957e-06, 9.711453322821679e-07, -2.491807152641952e-07, 4.25632263086161e-06, 6.106487502116681e-07, -0.0002664715620694929, 0.00012607653901388575, 2.282314066578947e-05, -5.02379036871317e-07, 6.106487502116681e-07, 0.00011720481781312794]",,,,1.72959440298,0.733759470982,0.249775187309,,-0.0152969985555,-0.00375039016955,0.0363793849925,"[0.000252502424598353, -0.00016710152154647843, -4.852562110865908e-05, -3.9820350110895945e-09, 1.1314422444871074e-08, 4.823727988630804e-08, -0.00016710152154647843, 0.0004976808692158929, 8.806749726719963e-06, 2.059740231248136e-09, -2.661923922870159e-09, -1.1762474470653132e-07, -4.852562110865908e-05, 8.806749726719963e-06, 0.0002572186366233108, -1.779084447589806e-09, 2.4028968647326875e-09, -2.5715665341172403e-09, -3.9820350110895945e-09, 2.059740231248136e-09, -1.779084447589806e-09, 2.4661667271603875e-09, 5.9198584333229036e-12, 9.917043808028149e-12, 1.1314422444871074e-08, -2.661923922870159e-09, 2.4028968647326875e-09, 5.9198584333229036e-12, 2.438483991906742e-09, 7.454698826600273e-13, 4.823727988630804e-08, -1.1762474470653132e-07, -2.5715665341172403e-09, 9.917043808028149e-12, 7.454698826600273e-13, 2.467797563130533e-09]"
1402416126122841249,,213358,,1402416126,78912973,/enu,/base_link,,,,5.05407557279,22.1448061776,-27.3853647406,,0.0109423003937,0.0118840059587,-0.535105607893,-0.844630703246,"[0.03346165861552237, -0.004731293880358159, 0.000913549305534019, 5.921429069738597e-06, -1.6825932798112676e-05, -0.00026643339279147177, -0.004731293880358159, 0.03744600924418859, 0.007398898790748103, 1.1866838411266497e-05, -3.768733203917306e-06, 0.00012600865845620416, 0.000913549305534019, 0.007398898790748103, 0.22397135335715243, -2.9267832949443463e-06, 9.700431721948592e-07, 2.2835101240037184e-05, 5.921429069738597e-06, 1.1866838411266497e-05, -2.9267832949443463e-06, 4.090229502907792e-06, -2.4917005920853337e-07, -5.022246654058207e-07, -1.6825932798112676e-05, -3.768733203917306e-06, 9.700431721948592e-07, -2.4917005920853337e-07, 4.296158484305827e-06, 6.09264750525691e-07, -0.00026643339279147177, 0.00012600865845620416, 2.2835101240037184e-05, -5.022246654058207e-07, 6.09264750525691e-07, 0.00011722552266827798]",,,,1.72967718874,0.72781728989,0.263220708765,,-0.00193282038324,-0.0107085982994,0.0333973164764,"[0.0002564135336772901, -0.00016761717786703783, -4.794867972638612e-05, -3.97844944327419e-09, 1.155558431516003e-08, 4.824454631919832e-08, -0.00016761717786703783, 0.000501459227074747, 9.175941238811253e-06, 1.8351675682529566e-09, -2.6858752152624807e-09, -1.1768122507150226e-07, -4.794867972638612e-05, 9.175941238811253e-06, 0.00025773644201203066, -1.8037341125329919e-09, 2.4409783733206826e-09, -2.579429222623886e-09, -3.97844944327419e-09, 1.8351675682529566e-09, -1.8037341125329919e-09, 2.4661667023857177e-09, 5.919886383397864e-12, 9.917393737400753e-12, 1.155558431516003e-08, -2.6858752152624807e-09, 2.4409783733206826e-09, 5.919886383397864e-12, 2.4384839561068805e-09, 7.451723575986184e-13, 4.824454631919832e-08, -1.1768122507150226e-07, -2.579429222623886e-09, 9.917393737400753e-12, 7.451723575986184e-13, 2.4677903969451227e-09]"
1402416126162886410,,213359,,1402416126,88932037,/enu,/base_link,,,,5.04258154254,22.180959521,-27.4022548427,,0.00767829833784,0.0110188402022,-0.535348195231,-0.844524682148,"[0.033432683808374934, -0.0047411549592930625, 0.0009223673794955771, 5.735053054081802e-06, -1.5707594419216615e-05, -0.0002661408368291249, -0.0047411549592930625, 0.03741476807703146, 0.007434319852765027, 1.0975986968902868e-05, -3.5752706363089524e-06, 0.00012595818459391187, 0.0009223673794955771, 0.007434319852765027, 0.22382164496923485, -2.8536149593933166e-06, 9.42965680378547e-07, 2.2675627350025927e-05, 5.735053054081802e-06, 1.0975986968902868e-05, -2.8536149593933166e-06, 3.89973867647635e-06, -2.4566752425988355e-07, -5.128741550910187e-07, -1.5707594419216615e-05, -3.5752706363089524e-06, 9.42965680378547e-07, -2.4566752425988355e-07, 4.101751420498368e-06, 6.080371131257139e-07, -0.0002661408368291249, 0.00012595818459391187, 2.2675627350025927e-05, -5.128741550910187e-07, 6.080371131257139e-07, 0.00011724352841104925]",,,,1.71471346223,0.68270149017,0.238013690815,,-0.0205944773501,-0.00850064449575,0.0377048743034,"[0.0002298231947963618, -0.00015297471586245466, -4.872250134390412e-05, -3.5896950147350106e-09, 1.0466753043450818e-08, 4.413820625449647e-08, -0.00015297471586245466, 0.0004810479701152142, 5.765788004401725e-06, 2.717572218710752e-09, -2.543411201571407e-09, -1.167498688979481e-07, -4.872250134390412e-05, 5.765788004401725e-06, 0.0002533963702053403, -1.5686513178679118e-09, 2.214314038842997e-09, -1.8563588439398085e-09, -3.5896950147350106e-09, 2.717572218710752e-09, -1.5686513178679118e-09, 2.466085046934463e-09, 5.918754910301075e-12, 9.916438657105324e-12, 1.0466753043450818e-08, -2.543411201571407e-09, 2.214314038842997e-09, 5.918754910301075e-12, 2.4383995185718194e-09, 7.470722001028341e-13, 4.413820625449647e-08, -1.167498688979481e-07, -1.8563588439398085e-09, 9.916438657105324e-12, 7.470722001028341e-13, 2.4677826187854354e-09]"
1402416126163011612,,213360,,1402416126,99910020,/enu,/base_link,,,,5.04357480178,22.2012583801,-27.3997084285,,0.00773850805596,0.0111638097139,-0.535509008764,-0.844420266442,"[0.03343160822159432, -0.004740343720368178, 0.0009185061207496992, 5.711054883646775e-06, -1.550405585955028e-05, -0.00026610566285336474, -0.004740343720368178, 0.0374163629445421, 0.0074248933789268345, 1.0797558925040504e-05, -3.5526508626191215e-06, 0.00012587668474990527, 0.0009185061207496992, 0.0074248933789268345, 0.22385392723596806, -2.8467697715224467e-06, 9.421270914234847e-07, 2.268868492814699e-05, 5.711054883646775e-06, 1.0797558925040504e-05, -2.8467697715224467e-06, 3.947911935242191e-06, -2.456575313670241e-07, -5.127327548519342e-07, -1.550405585955028e-05, -3.5526508626191215e-06, 9.421270914234847e-07, -2.456575313670241e-07, 4.1499302198779e-06, 6.066888772543175e-07, -0.00026610566285336474, 0.00012587668474990527, 2.268868492814699e-05, -5.127327548519342e-07, 6.066888772543175e-07, 0.00011727269265926238]",,,,1.71509317327,0.675135642306,0.245253800989,,-0.0233556724651,-0.0168946735266,0.0317407155062,"[0.00023387812051129623, -0.00015351277056960193, -4.815770085855627e-05, -3.5853956639949363e-09, 1.0722870594334049e-08, 4.415016123863591e-08, -0.00015351277056960193, 0.0004849697845795211, 6.171740196156173e-06, 2.479764938074815e-09, -2.5689831215952767e-09, -1.1681075630215551e-07, -4.815770085855627e-05, 6.171740196156173e-06, 0.0002540151339684792, -1.5915652963196026e-09, 2.254292102526968e-09, -1.895072565578642e-09, -3.5853956639949363e-09, 2.479764938074815e-09, -1.5915652963196026e-09, 2.466085021548224e-09, 5.918781872036071e-12, 9.916801074872468e-12, 1.0722870594334049e-08, -2.5689831215952767e-09, 2.254292102526968e-09, 5.918781872036071e-12, 2.438399485155112e-09, 7.467836423749975e-13, 4.415016123863591e-08, -1.1681075630215551e-07, -1.895072565578642e-09, 9.916801074872468e-12, 7.467836423749975e-13, 2.4677754479972912e-09]"
