rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,point,x,y,z
1402414568281403635,,13,,1402414568,273049116,/ecef,,738763.806001,-5498144.19278,3136745.30311
1402414569282334543,,14,,1402414569,273164987,/ecef,,738763.94714,-5498144.21508,3136744.63918
1402414570284305705,,15,,1402414570,275144100,/ecef,,738764.288024,-5498144.54415,3136744.03981
1402414571282289698,,16,,1402414571,273114919,/ecef,,738764.577782,-5498144.33471,3136743.06467
1402414572282324115,,17,,1402414572,273144960,/ecef,,738764.740021,-5498144.69006,3136742.57875
1402414573284296524,,18,,1402414573,276010036,/ecef,,738764.912133,-5498145.03186,3136741.82366
1402414574285295984,,19,,1402414574,276093959,/ecef,,738764.958535,-5498145.43449,3136741.20629
1402414575285253323,,20,,1402414575,276063919,/ecef,,738764.899837,-5498145.70045,3136740.56253
1402414576284238585,,21,,1402414576,275005102,/ecef,,738764.886715,-5498146.68459,3136740.30088
1402414577284272042,,22,,1402414577,274930953,/ecef,,738764.554095,-5498147.16094,3136739.66568
1402414578282270115,,23,,1402414578,272910118,/ecef,,738764.192285,-5498147.85976,3136739.27143
1402414579282164320,,24,,1402414579,273000001,/ecef,,738763.683055,-5498148.12367,3136738.61033
1402414580282165014,,25,,1402414580,272855997,/ecef,,738763.456707,-5498149.14416,3136738.43904
