rosbagTimestamp,transforms,-,header,seq,stamp,secs,nsecs,frame_id,child_frame_id,transform,translation,x,y,z,rotation,x,y,z,w
1402416515091043938,,errorv,,0,,1402416515,16885995,/enu,/base_link,,,9.30072915337,11.4581040241,-30.052366533,,0.00290769094648,0.00574699608822,-0.563591180987,0.826028751366
1402416515091105872,,errorv,,0,,1402416515,26902914,/enu,/base_link,,,9.29548225039,11.4663124946,-30.0546996738,,0.00288403815753,0.00582043557184,-0.5640540295,0.825712332873
1402416515091130233,,errorv,,0,,1402416515,37897109,/enu,/base_link,,,9.26864075921,11.4914282933,-30.0195024361,,0.00173602176427,0.00413658255195,-0.564415956059,0.825478348268
1402416515091151445,,errorv,,0,,1402416515,47887086,/enu,/base_link,,,9.26313375288,11.5001220273,-30.0217354256,,0.00171137085423,0.00420726249819,-0.564917294013,0.825135032026
1402416515097686691,,errorv,,0,,1402416515,97543985,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416515097959597,,errorv,,0,,1402416515,97570612,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416515097990256,,errorv,,0,,1402416515,97724459,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416515117654756,,errorv,,0,,1402416515,117447062,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416515117683991,,errorv,,0,,1402416515,117497096,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416515117700341,,errorv,,0,,1402416515,117504685,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416515128164113,,errorv,,0,,1402416515,227946657,/base_link,/gps,,,-0.84,0.0,-0.14,,0.0,0.0,0.0,1.0
1402416515128326030,,errorv,,0,,1402416515,228129137,base_link,imu,,,0.13,0.0,-0.1,,1.0,0.0,0.0,0.0
1402416515131251295,,errorv,,0,,1402416515,58897018,/enu,/base_link,,,9.25719309837,11.5097222136,-30.0242960999,,0.00165885862016,0.00431360409449,-0.565473677838,0.824753393858
1402416515131283417,,errorv,,0,,1402416515,69886922,/enu,/base_link,,,9.25114861342,11.5192954337,-30.0267255901,,0.0016233014756,0.00442365901224,-0.566006672606,0.824387192222
1402416515131305910,,errorv,,0,,1402416515,79902887,/enu,/base_link,,,9.2458027953,11.5281177548,-30.0291046233,,0.00157090381629,0.00448391422584,-0.566511813553,0.82403992129
1402416515131325816,,errorv,,0,,1402416515,89876890,/enu,/base_link,,,9.22290758733,11.5305240488,-29.9817788535,,0.0013967090882,0.00401204216271,-0.566969393578,0.823727903781
1402416515131356835,,errorv,,0,,1402416515,100862979,/enu,/base_link,,,9.21675187157,11.540289654,-29.9840316778,,0.00143268120254,0.00406363621721,-0.567524463545,0.823345260242
1402416515137707975,,errorv,,0,,1402416515,137523315,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416515137738164,,errorv,,0,,1402416515,137541983,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416515137762105,,errorv,,0,,1402416515,137548405,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416515157784868,,errorv,,0,,1402416515,157479392,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416515157822914,,errorv,,0,,1402416515,157496482,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416515157879844,,errorv,,0,,1402416515,157502752,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416515171037844,,errorv,,0,,1402416515,110877990,/enu,/base_link,,,9.21116337857,11.5492021195,-29.9860565194,,0.00145970516486,0.00409017532492,-0.56802393275,0.823000578098
1402416515171065957,,errorv,,0,,1402416515,120845079,/enu,/base_link,,,9.2057997932,11.5580676683,-29.988137505,,0.0013915736622,0.00415615627368,-0.568494520882,0.822675373166
1402416515171090388,,errorv,,0,,1402416515,131861925,/enu,/base_link,,,9.19980736321,11.568082254,-29.9906785791,,0.001359387246,0.00423332004934,-0.569035513467,0.822300927569
1402416515177647442,,errorv,,0,,1402416515,177486106,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416515177785625,,errorv,,0,,1402416515,177518733,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416515177819657,,errorv,,0,,1402416515,177558752,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416515179336738,,errorv,,0,,1402416515,141865968,/enu,/base_link,,,9.1649777794,11.5569395373,-29.9271744484,,0.00200159223377,0.00386933555436,-0.569647827559,0.821877347558
1402416515179383378,,errorv,,0,,1402416515,152842998,/enu,/base_link,,,9.15868675635,11.5666539226,-29.9292855948,,0.0020461532363,0.0038731225729,-0.570219919217,0.821480405066
1402416515197652213,,errorv,,0,,1402416515,197506397,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416515197929462,,errorv,,0,,1402416515,197533532,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416515197958126,,errorv,,0,,1402416515,197701477,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416515217824706,,errorv,,0,,1402416515,217496321,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
