rosbagTimestamp,control_method,x_current,x_desired,y_current,y_desired,x_velocity_current,x_velocity_desired,y_velocity_current,y_velocity_desired,yaw_current,yaw_desired,required_force_x,required_force_y,required_moment_z,resultant_force_x,resultant_force_y,resultant_moment_z,current_port_servo_angle,current_port_thruster_force,current_starboard_servo_angle,current_starboard_thruster_force,estimated_port_servo_angle,estimated_port_thruster_force,estimated_starboard_servo_angle,estimated_starboard_thruster_force,cost_value,step,user_defined_1,user_defined_2,user_defined_3,user_defined_4,user_defined_5
1402598879843974363,0,11.702473659,-0.114322152727,-28.3261298282,0.043815185726,0.143671900226,0.0,0.0535613831458,0.0,1.31653475817,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.000767318410122,-0.0,0.0237825791065,-0.0,0.0,-0.0,0.0207256318136,-0.0,4.96685214702e-08,0.0,0.0,0.0,0.0,0.0,0.0
1402598879863869100,0,11.702473659,-0.114322152727,-28.3261298282,0.043815185726,0.143671900226,0.0,0.0535613831458,0.0,1.31653475817,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.000767318410122,-0.0,0.0237825791065,-0.0,0.0,-0.0,0.0207256318136,-0.0,4.96685214702e-08,0.0,0.0,0.0,0.0,0.0,0.0
1402598879883331420,0,11.7079091842,-0.114322152727,-28.3230693454,0.043815185726,0.150003685334,0.0,0.044057440206,0.0,1.31757032294,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.000767381983555,-0.0,0.0237825791065,-0.0,0.0,-0.0,0.0207256318136,-0.0,4.9669009301e-08,0.0,0.0,0.0,0.0,0.0,0.0
1402598879903831287,0,11.7079091842,-0.114322152727,-28.3230693454,0.043815185726,0.150003685334,0.0,0.044057440206,0.0,1.31757032294,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.000767318410122,-0.0,0.0237825791065,-0.0,0.0,-0.0,0.0207256318136,-0.0,4.96685214702e-08,0.0,0.0,0.0,0.0,0.0,0.0
1402598879923382039,0,11.7068575184,-0.114322152727,-28.3174155655,0.043815185726,0.15300674598,0.0,0.0489566476159,0.0,1.3178198441,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.000767381983555,-0.0,0.0237825791065,-0.0,0.0,-0.0,0.0207256318136,-0.0,4.9669009301e-08,0.0,0.0,0.0,0.0,0.0,0.0
1402598879943837874,0,11.7068575184,-0.114322152727,-28.3174155655,0.043815185726,0.15300674598,0.0,0.0489566476159,0.0,1.3178198441,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.000767381983555,-0.0,0.0237825791065,-0.0,0.0,-0.0,0.0207256318136,-0.0,4.9669009301e-08,0.0,0.0,0.0,0.0,0.0,0.0
1402598879963324822,0,11.713176112,-0.114322152727,-28.3154559847,0.043815185726,0.151713677124,0.0,0.0462491958749,0.0,1.31838577076,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.000767318410122,-0.0,0.0237825791065,-0.0,0.0,-0.0,0.0207256318136,-0.0,4.96685214702e-08,0.0,0.0,0.0,0.0,0.0,0.0
1402598879983265676,0,11.713176112,-0.114322152727,-28.3154559847,0.043815185726,0.151713677124,0.0,0.0462491958749,0.0,1.31838577076,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.000767381983555,-0.0,0.0237825791065,-0.0,0.0,-0.0,0.0267249369469,-0.0,4.62317238461e-08,0.0,0.0,0.0,0.0,0.0,0.0
1402598880003173671,0,11.7177641761,-0.114322152727,-28.3154725921,0.043815185726,0.160397141947,0.0,0.0338696773441,0.0,1.31925380026,0.0,0.0,0.0,0.0,6.26962631941,0.0,-1.91098210216,0.000767318410122,-0.0,0.0237825791065,-0.0,0.0,6.26962631941,0.0267249369469,-0.0,3987.8780776,0.0,0.0,0.0,0.0,0.0,0.0
1402598880023319723,0,11.7177641761,-0.114322152727,-28.3154725921,0.043815185726,0.160397141947,0.0,0.0338696773441,0.0,1.31925380026,0.0,0.0,0.0,0.0,63.5435183084,-15.6678493998,-8.02610819986,-0.000767381983555,6.26962631941,0.0237825791065,-0.0,-0.241746705453,65.4466211796,0.0267249369469,-0.0,378255.196186,0.0,0.0,0.0,0.0,0.0,0.0
1402598880043897780,0,11.7152112134,-0.114322152727,-28.3089727885,0.043815185726,0.150994317382,0.0,0.0414173712251,0.0,1.31941179188,0.0,0.0,0.0,0.0,92.7533218635,-37.3740723402,-1.21612153695,0.000767318410122,65.4466211796,0.0237825791065,-0.0,-0.383038740522,100.0,0.0267249369469,-0.0,1179309.05401,0.0,0.0,0.0,0.0,0.0,0.0
1402598880063103392,0,11.7152112134,-0.114322152727,-28.3089727885,0.043815185726,0.150994317382,0.0,0.0414173712251,0.0,1.31941179188,0.0,0.0,0.0,0.0,92.7533218635,-37.3740723402,-1.21612153695,-0.00383606751517,100.0,0.0237825791065,-0.0,-0.383038740522,100.0,0.0267249369469,-0.0,1179309.05399,0.0,0.0,0.0,0.0,0.0,0.0
1402598880083714619,0,11.7179408178,-0.114322152727,-28.3106862722,0.043815185726,0.147297339881,0.0,0.0315110715104,0.0,1.31997746512,0.0,0.0,0.0,0.0,92.7533218635,-37.3740723402,-1.21612153695,-0.0161108096416,100.0,0.0237825791065,-0.0,-0.383038740522,100.0,0.0267249369469,-0.0,1179309.05395,0.0,0.0,0.0,0.0,0.0,0.0
