rosbagTimestamp,transforms,-,header,seq,stamp,secs,nsecs,frame_id,child_frame_id,transform,translation,x,y,z,rotation,x,y,z,w
1402416313257687625,,errorv,,0,,1402416313,257517679,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416313257812023,,errorv,,0,,1402416313,257544313,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416313257849925,,errorv,,0,,1402416313,257583963,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416313277727095,,errorv,,0,,1402416313,277530656,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416313277759842,,errorv,,0,,1402416313,277573472,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416313277787547,,errorv,,0,,1402416313,277583387,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416313283089480,,errorv,,0,,1402416313,205547094,/enu,/base_link,,,10.8127159871,26.5426807004,-18.3507347255,,0.0210427661709,0.0159053217957,-0.61069634081,0.791425424188
1402416313283217003,,errorv,,0,,1402416313,216552972,/enu,/base_link,,,10.8178888999,26.5419667695,-18.3487408356,,0.0212253762222,0.0159710581356,-0.609491834104,0.792347217366
1402416313283242166,,errorv,,0,,1402416313,226552009,/enu,/base_link,,,10.8229427562,26.5413880918,-18.3469080536,,0.021057907885,0.0159450687173,-0.60840041729,0.793190551847
1402416313283267313,,errorv,,0,,1402416313,237683057,/enu,/base_link,,,10.8283086729,26.5406709315,-18.3449340656,,0.0214362621141,0.0159887158059,-0.607178777194,0.794115092514
1402416313297734477,,errorv,,0,,1402416313,297524208,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416313297770508,,errorv,,0,,1402416313,297544151,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416313297793673,,errorv,,0,,1402416313,297556234,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
