rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,point,x,y,z
1402416645288485378,,406,,1402416645,278218984,/ecef,,738764.68077,-5498153.0833,3136735.39979
1402416646287327261,,407,,1402416646,278181076,/ecef,,738764.704584,-5498152.63884,3136736.55865
1402416647288235734,,408,,1402416647,279107093,/ecef,,738764.565456,-5498151.98551,3136737.44188
1402416648287229316,,409,,1402416648,278067111,/ecef,,738764.455911,-5498151.58412,3136738.42148
1402416649289192661,,410,,1402416649,278861999,/ecef,,738763.916369,-5498151.49989,3136739.26306
1402416650288051605,,411,,1402416650,278894901,/ecef,,738763.433383,-5498150.804,3136739.84976
1402416651287984174,,412,,1402416651,278839111,/ecef,,738762.659527,-5498150.2036,3136740.40751
1402416652288965414,,413,,1402416652,279619932,/ecef,,738762.131493,-5498149.54939,3136740.96841
1402416653287773418,,414,,1402416653,277704000,/ecef,,738761.7628,-5498148.69374,3136741.56686
1402416654287802576,,415,,1402416654,278639078,/ecef,,738761.096833,-5498148.33622,3136742.10972
1402416655287695780,,416,,1402416655,278518915,/ecef,,738760.446876,-5498148.0465,3136742.69205
